Name,Rating,Reviews,URL,Description,Location
Desert Arboretum Park,4.1,14,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/83/44/72/a-part-of-the-mountain.jpg?w=500&h=400&s=1,This large arboretum contains more than 300 species of plants from various regions of the desert.,"Tempe, Arizona"
Tempe Tourism Office,4.1,8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/8f/1d/38/tempe-convention-and.jpg?w=500&h=-1&s=1,Offers information on baseball spring training schedules and accommodations in the area.,"Tempe, Arizona"
Pixypros Selfie Museum,3.0,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/0a/fd/dd/disc-room.jpg?w=500&h=400&s=1,"Pixypros is the 1st Selfie Museum in AZ! Featured on both CBNC, Fox news, and has gone viral on Tiktok and IG. It's an interactive museum for those who loves taking beautiful pictures with gorgeous…","Tempe, Arizona"
Simply Smashing Rage Release Room,4.3,20,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/36/fb/37/team-building.jpg?w=500&h=-1&s=1,"Simply Smashing “a Rage Release Room” is a unique combination of stress reduction and recreational destruction activity for anyone ages 8+. Most places, you break it, you buy it. Here you buy it then…","Tempe, Arizona"
Four Peaks Brewing Company,4.4,262,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/d3/79/c7/sampler-tray.jpg?w=500&h=-1&s=1,"The original Four Peaks in Tempe is the Mother Ship to all things Four Peaks! Daily Specials, Single Tank Series, and seasonals make each visit unique! Join us for a brewery tour and experience the…","Tempe, Arizona"
The Zone Escape Rooms,4.9,315,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8e/a2/2f/right-in-the-heart-of.jpg?w=500&h=400&s=1,"The Zone Escape Rooms is the most immersive escape game experience in the state. Voted ""Best Escape Room"" in Arizona! Conveniently located in vibrant downtown Tempe, close to everything! The Zone …","Tempe, Arizona"
Great Room Escape & Class Axe Throwing,4.9,122,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a5/c6/fe/tempe-class-axe-throwing.jpg?w=500&h=400&s=1,"Great Room Escape (formally known as Mindspark) is a fully interactive and immersive experience unlike anything else you can do in Tempe, Arizona. Up to 12 participants will be locked in a room, and…","Tempe, Arizona"
Escapology Tempe,5.0,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/8a/a6/9e/who-stole-mona-lisa-escape.jpg?w=500&h=400&s=1,"Escapology Tempe, located in Tempe Marketplace, is Tempe's premium real-life escape game experience! Up to 8 players will be challenged in this Escape Game by working together to find clues, solve…","Tempe, Arizona"
The Church Of Jesus Christ Of Latter-day Saints,2.0,1,N/A,"Church building. No matter your story, we welcome you to join us as we all try to be a little bit better, a little bit kinder, a little more helpful—because that’s what Jesus taught.","Tempe, Arizona"
Desert Botanical Garden,4.7,9265,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e0/51/4d/ottosen-entry-garden.jpg?w=500&h=400&s=1,Discover the tranquil vibrancy of desert plants nestled amid the red rocks of the Papago Buttes. Visitors can stroll through five thematic trails to explore the fascinating beauty of the Sonoran Desert…,"Phoenix, Arizona"
Musical Instrument Museum,4.9,6621,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/85/43/71/explore-over-4-200-instruments.jpg?w=500&h=400&s=1,The World's Only Global Musical Instrument Museum. Home of the MIM Music Theater--a 300-seat acoustically superb performance space--as well as the award-winning Café Allegro (open 11 am - 2 pm daily…,"Phoenix, Arizona"
Hole in the Rock,4.4,1137,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/7d/ed/98/filename-img-5081-jpg.jpg?w=500&h=400&s=1,Enjoy breathtaking views from the top of this unusual rock formation in Phoenix’s Papago Park after an easy 10-minute hike from the parking lot. Drop by right before sunset for milder temperatures…,"Phoenix, Arizona"
Chase Field,4.5,2386,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/36/f2/57/caption.jpg?w=500&h=-1&s=1,"The home of the state's Major League Baseball team, the Arizona Diamondbacks.","Phoenix, Arizona"
St. Mary's Basilica,4.5,277,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b5/e0/a5/st-mary-s-basilica.jpg?w=500&h=400&s=1,"St. Mary’s Basilica, named The Church of the Immaculate Conception of the Blessed Virgin is the oldest Catholic parish in Phoenix and was the only Catholic parish in Phoenix until 1924. It holds a…","Phoenix, Arizona"
Phoenix Zoo,4.2,3118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/29/c2/ec/boboo-an-african-lion.jpg?w=500&h=400&s=1,"Outdoor adventures. Lifelong memories. That’s Zoo We Are! Since 1962, the Phoenix Zoo has inspired and motivated guests from across the world to care for the natural world. Nestled on 125 acres within…","Phoenix, Arizona"
South Mountain Park,4.6,1339,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ec/21/83/photo0jpg.jpg?w=500&h=400&s=1,"This, the largest municipal park in the world, is a popular hiking, biking and horseback riding trail area.","Phoenix, Arizona"
Phoenix Art Museum,4.4,1105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/5d/ed/0b/phoenix-art-museum-entrance.jpg?w=500&h=400&s=1,Phoenix Art Museum has provided access to visual arts and educational programs in Arizona for more than 60 years and is the largest art museum in the Southwestern United States. In addition to an …,"Phoenix, Arizona"
Wrigley Mansion,4.3,570,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/99/b7/b5/the-old-and-new-christopher.jpg?w=500&h=400&s=1,Come on up the hill and see what we're about! Wrigley Mansion is a 1931 fine-dining and special event venue offering unbeatable 360-degree views and award-winning cuisine & wine list. Valet at the…,"Phoenix, Arizona"
Arizona Science Center,4.1,974,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/07/0b/d2/photo6jpg.jpg?w=500&h=-1&s=1,"Located in the heart of Downtown Phoenix, Arizona Science Center has been a hub for science and discovery for the community and visitors. Featuring more than 300 hands-on exhibits, live demonstrations…","Phoenix, Arizona"
Hall of Flame Museum of Firefighting,4.7,432,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ca/76/b3/piston-fire-engine.jpg?w=500&h=400&s=1,The world's largest firefighting museum chronicles the history of the profession and commemorates fallen firefighters.,"Phoenix, Arizona"
Rosson House Museum,4.6,239,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/dd/9a/1d/exterior.jpg?w=500&h=-1&s=1,The Rosson House Museum is a fully-restored 1895 Queen Anne Victorian house museum which interprets the history of Phoenix. Tours of the house include all living areas and offer visitors a glimpse…,"Phoenix, Arizona"
Brass Armadillo Antique Mall,4.4,137,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/29/bb/a4/photo3jpg.jpg?w=500&h=-1&s=1,"The Brass Armadillo Antique Mall in Phoenix is home to over 600 antique dealers, the largest number of antique dealers under one roof in the entire desert valley. As you explore our aisles full of…","Phoenix, Arizona"
Castles N' Coasters,3.8,429,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/99/63/e4/large-rollercoaster-has.jpg?w=500&h=-1&s=1,"Whether you're young or old, big or small, you'll find lots of fun, food and excitement at Arizona's Finest Family Fun and Thrill Park.From the thrilling sky high roller coasters and exciting Sky …","Phoenix, Arizona"
Japanese Friendship Garden of Phoenix,4.0,424,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/1c/c2/overview-at-jfg.jpg?w=500&h=400&s=1,We are a traditional Japanese stroll garden in the heart of Downtown Phoenix. We are 501(c)3 non profit organization in cooperation with the city of Phoenix and Phoenix Sister Cities Organization. …,"Phoenix, Arizona"
The Phoenix Theatre Company,4.8,166,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/48/66/ea/kinky-boots-at-the-phoenix.jpg?w=500&h=400&s=1,"The largest producing regional theatre company in the Arizona, The Phoenix Theatre Company offers more programs and experiences than any other. With nearly 500 performances on multiple stages and …","Phoenix, Arizona"
Mystery Castle,4.0,404,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/5b/73/76/mystery-castle.jpg?w=500&h=-1&s=1,"Built by a father to realize his daughter's dream, this three-story castle, completed in 1945, is made of stone, adobe, automobile parts and petroglyphs and is held together by a cement mixture including…","Phoenix, Arizona"
Footprint Center,4.0,464,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b6/d0/af/caption.jpg?w=500&h=400&s=1,This arena is the home of the Phoenix Suns.,"Phoenix, Arizona"
Phoenix Mountain Preserve,4.6,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/38/70/fb/camelback-i-think-from.jpg?w=500&h=400&s=1,"Offers more than 23,000 acres crisscrossed with trails.","Phoenix, Arizona"
S'edav Va'aki Museum,4.2,297,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/04/89/02/museum-front-entrance.jpg?w=500&h=400&s=1,"For thousands of years, the Ancestral Sonoran Desert People, known to archaeologists as the Hohokam, have lived in Phoenix and the surrounding areas. They have been intimately connected to the landscape…","Phoenix, Arizona"
The Farm at South Mountain,4.3,246,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/49/0a/5f/photo4jpg.jpg?w=500&h=400&s=1,"The Farm at South Mountain in Phoenix offers a nearby escape from the city with canopies of pecan trees and an organic style garden. Rich in history, this agritourism destination invites you to explore…","Phoenix, Arizona"
Biltmore Fashion Park,3.8,80,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/6c/57/d7/biltmore-fashion-park.jpg?w=500&h=400&s=1,"Known as the ""crown jewel"" because of its regal history and unmatched ambiance, Biltmore Fashion Park is an outdoor shopping experience in a park-like setting and serves as home to some of the finest…","Phoenix, Arizona"
Burton Barr Central Library,4.6,237,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/fa/27/e5/photo2jpg.jpg?w=500&h=400&s=1,"A library for the space age, this five-story cube of steel and glass is clad in ribbed copper sheeting and sunshine.","Phoenix, Arizona"
K1 Speed Phoenix,4.4,75,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e6/57/bb/k1-speed-offers-two-kinds.jpg?w=500&h=-1&s=1,"K1 Speed offers a fun, exciting thing to do in Phoenix, AZ that delivers an unforgettable experience for friends, families, and businesses. Each location features fast indoor electric go karts, a …","Phoenix, Arizona"
Downtown Phoenix Farmers Market,4.1,54,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/8e/ca/5a/main-entrance.jpg?w=500&h=400&s=1,"Year-round outdoor farmers market with 90+ local businesses and growers in the heart of downtown Phoenix. Live tunes every Saturday with a vibrant and diverse scene. Find fresh, locally-produced food…","Phoenix, Arizona"
Outlets at Anthem,3.7,158,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/87/c9/c5/your-savings-shopping.jpg?w=500&h=400&s=1,"A must see when heading north from the valley! Conveniently located off I-17, just 15 minutes north of the loop 101 and 35 minutes from Scottsdale or the Phoenix International airport. Outlets at …","Phoenix, Arizona"
Liberty Wildlife,4.9,30,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9b/da/3c/arya-the-red-tail-hawk.jpg?w=500&h=400&s=1,"Liberty Wildlife is a non-profit rescue, rehabilitation, education and conservation organization located just south of Sky Harbor Airport. Tucked inside Phoenix city lines, we have an amazing backdrop…","Phoenix, Arizona"
Arizona Grand Golf Course,3.7,75,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f9/05/e9/arizona-grand-golf-course.jpg?w=500&h=400&s=1,"Awarded the Four Star Award by Golf Digest, Arizona Grand Golf Course is one of the most challenging golf courses in the Phoenix area and blends desert target golf with traditional links.","Phoenix, Arizona"
Phoenix Arizona Temple,4.7,18,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f1/e6/8f/mormon-temple.jpg?w=500&h=400&s=1,"*Please visit the temple website for open hours and appointments.* Temples of The Church of Jesus Christ of Latter-day Saints are considered houses of God, a place of holiness and peace separate from…","Phoenix, Arizona"
Enchanted Island,3.6,69,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/06/11/57/cars-ride.jpg?w=500&h=400&s=1,"Whether you like spinning, flying, dropping, bumping, driving, rocking, or rolling, the rides at Enchanted Island Amusement Park are sure to thrill and delight.If you’re in a leisurely mood, tour …","Phoenix, Arizona"
The Square Phx,3.9,104,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/b6/21/58/20160318-134619-largejpg.jpg?w=500&h=400&s=1,"This tourist center contains shops, museums and restaurants, and also includes the only remaining group of residential structures from Phoenix's original settlement. If you're interested in holding…","Phoenix, Arizona"
Tovrea Castle At Carraro Heights,4.0,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a4/ba/18/tovrea-castle-at-carraro.jpg?w=500&h=400&s=1,"Tovrea Castle at Carraro Heights is a “Jewel in the Desert” that has intrigued people in the Valley of the Sun for 90 years and is a Phoenix Point of Pride, an Arizona Centennial Legacy Project and…","Phoenix, Arizona"
Adobe Mountain Desert Railroad Park,4.6,18,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/2c/d1/f6/engineer-mick-j-taking.jpg?w=500&h=-1&s=1,"We are a multi-use train oriented park on 135 acres. We provide train rides on a fleet of 7 1/2"" gauge trains, an operating indoor & outdoor model train displays (G, HO & N scale) as well as a railroad…","Phoenix, Arizona"
Cutler Plotkin Jewish Heritage Center,4.9,16,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/96/ab/2d/getlstd-property-photo.jpg?w=500&h=400&s=1,"The Jewish experience in Arizona is a unique one. Many Jews arrived in Arizona in the 19th century and played vital roles in the development of Arizona's mining industry, agriculture, and commerce…","Phoenix, Arizona"
Raven Golf Club Phoenix,4.4,117,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/17/87/5c/20190405-122632-largejpg.jpg?w=500&h=-1&s=1,"Raven Golf Club Phoenix's spectacular championship golf course, array of world-class amenities and unparalleled guest service have earned it recognition among the nation's top daily fee golf properties…","Phoenix, Arizona"
Irish Cultural Center and McClelland Library,4.6,24,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/80/44/26/great-hall.jpg?w=500&h=-1&s=1,The Irish Cultural Center (ICC) provides a comprehensive and interactive cultural and learning experience linking the people of and visitors to Arizona with the people of Ireland and other Celtic …,"Phoenix, Arizona"
Arizona Tactical Adventures,5.0,158,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3c/8e/ef/learn-to-clear-buildings.jpg?w=500&h=400&s=1,Arizona Tactical Adventure tours are designed to put our guests into highly realistic and exciting military scenarios. These adventures can be attended by just about anyone regardless of experience…,"Phoenix, Arizona"
CityScape Phoenix,3.8,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/11/5b/0d/cityscape-phoenix.jpg?w=500&h=-1&s=1,"CityScape is a mixed-use urban project located in Downtown Phoenix. Bordered on three sides by the city's new light rail transit system, the project's neighbors include the US Airways Center, Chase…","Phoenix, Arizona"
Wildfire Golf Club,4.2,136,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/26/70/1f/wildfire-golf-club-offers.jpg?w=500&h=-1&s=1,"Designed by Arnold Palmer, Wildfire Golf Club offers an upscale golf course in Phoenix, Arizona, situated in the high Sonoran desert. The club delivers a target golf experience at JW Marriott Phoenix…","Phoenix, Arizona"
Shemer Art Center and Museum,4.6,9,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/08/71/a2/shemer-art-center-and.jpg?w=500&h=400&s=1,"A Phoenix Point of Pride, this museum is a cultural locus, featuring local artisans and offering its own arts and crafts workshops.","Phoenix, Arizona"
Lookout Mountain Golf Club,4.2,123,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/87/55/10/this-is-the-view-from.jpg?w=500&h=-1&s=1,Lookout Mountain Golf Club at Pointe Hilton Tapatio Cliffs Resort is a magnificent par-71 course has garnered many honors. Golf Digest named it one of the 450 best public courses in the country and…,"Phoenix, Arizona"
High Street,4.7,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/27/c7/24/come-by-and-dine-at-one.jpg?w=500&h=400&s=1,"Visitors and locals alike flock to High Street for its urban appeal in a clean, modern and stylish neighborhood. Easy access from major highways brings the swanky and suave from Scottsdale and the…","Phoenix, Arizona"
Valley Youth Theatre,4.5,8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9f/4a/ad/disney-s-the-little-mermaid.jpg?w=400&h=-1&s=1,"Valley Youth Theatre (VYT) is an award-winning, professional quality, theatre dedicated to helping young people achieve their full potential through meaningful engagement, education and excellence…","Phoenix, Arizona"
St. Joseph Maronite Catholic Church,5.0,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/32/7d/27/a-beautiful-church-where.jpg?w=500&h=-1&s=1,"St. Joseph Maronite Catholic Church in Phoenix, AZ is the site of the largest shrine in North America dedicated to St. Sharbel. St. Sharbel Maklouf, was a Lebanese hermit and monk, canonized on Oct…","Phoenix, Arizona"
Buddy Stubbs Harley-Davidson,4.7,65,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ee/51/a0/buddy-stubbs-harley-davidson.jpg?w=500&h=400&s=1,"The Southwest's Premier Motorcycle Museum with 3000+ sq. ft. of classic two-wheeled history is located at Buddy Stubbs Harley-Davidson®. With 37 different motorcycle manufacturers, this museum is …","Phoenix, Arizona"
The Van Buren,3.3,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/3b/98/3c/caption.jpg?w=500&h=400&s=1,"The Van Buren is a state-of-the-art concert venue in downtown Phoenix presenting acts of all genres including indie rock, hip-hop, country, metal, reggae, EDM and more.","Phoenix, Arizona"
